PUF no.,"File(s), Documentation & Codebooks",Data update,Year,File type
HC-181,2015 Full Year Consolidated Data File,,2015,Household Full Year File
HC-171,2014 Full Year Consolidated Data File,X,2014,Household Full Year File
HC-163,2013 Full Year Consolidated Data File,X,2013,Household Full Year File
HC-155,2012 Full Year Consolidated Data File,X,2012,Household Full Year File
HC-147,2011 Full Year Consolidated Data File,X,2011,Household Full Year File
HC-138,2010 Full Year Consolidated Data File,X,2010,Household Full Year File
HC-129,2009 Full Year Consolidated Data File,X,2009,Household Full Year File
HC-121,2008 Full Year Consolidated Data File,X,2008,Household Full Year File
HC-113,2007 Full Year Consolidated Data File,X,2007,Household Full Year File
HC-105,2006 Full Year Consolidated Data File,X,2006,Household Full Year File
HC-097,2005 Full Year Consolidated Data File,X,2005,Household Full Year File
HC-089,2004 Full Year Consolidated Data File,X,2004,Household Full Year File
HC-079,2003 Full Year Consolidated Data File,X,2003,Household Full Year File
HC-070,2002 Full Year Consolidated Data File,X,2002,Household Full Year File
HC-060,2001 Full Year Consolidated Data File,X,2001,Household Full Year File
HC-050,2000 Full Year Consolidated Data File,X,2000,Household Full Year File
HC-038,1999 Full Year Consolidated Data File,X,1999,Household Full Year File
HC-028,1998 Full Year Consolidated Data File,X,1998,Household Full Year File
HC-020,1997 Full Year Consolidated Data File,X,1997,Household Full Year File
HC-012,1996 Full Year Consolidated Data File,X,1996,Household Full Year File
